img_path,true_class,top_n预测正确,top-1-predicted-class,top-1-probs,top-2-predicted-class,top-2-probs,top-3-predicted-class,top-3-probs,class_云南省_prob,class_广西省_prob,class_未知_prob,class_浙江省_prob,class_贵州省_prob,class_陕西省_prob
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1185.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1187.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1188.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1190.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1191.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1198.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\120.png,云南省,1,云南省,0.99673,浙江省,0.00219,广西省,0.00062,0.99673,0.00062,0.0,0.00219,0.00039,7e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1209.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\121.png,云南省,1,云南省,0.99952,陕西省,0.0003,贵州省,0.00015,0.99952,0.0,0.0,2e-05,0.00015,0.0003
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1212.png,未知,1,未知,0.99998,广西省,2e-05,云南省,0.0,0.0,2e-05,0.99998,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1216.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1217.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\122.png,云南省,1,云南省,0.99999,广西省,0.0,未知,0.0,0.99999,0.0,0.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1220.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1227.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1232.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1234.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1236.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1238.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1257.png,未知,1,未知,0.99999,陕西省,1e-05,云南省,0.0,0.0,0.0,0.99999,0.0,0.0,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1264.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1267.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1273.png,未知,1,未知,0.99777,陕西省,0.00174,广西省,0.00024,4e-05,0.00024,0.99777,3e-05,0.00017,0.00174
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1283.png,未知,1,未知,0.99998,广西省,1e-05,云南省,0.0,0.0,1e-05,0.99998,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1284.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1289.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\129.png,云南省,1,云南省,0.99996,陕西省,3e-05,广西省,0.0,0.99996,0.0,0.0,0.0,0.0,3e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1291.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1292.png,未知,1,未知,0.99986,广西省,7e-05,贵州省,4e-05,1e-05,7e-05,0.99986,1e-05,4e-05,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1293.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1297.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1308.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1309.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1315.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1317.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1321.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1330.png,未知,1,未知,0.99999,浙江省,1e-05,云南省,0.0,0.0,0.0,0.99999,1e-05,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1332.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1334.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1336.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1338.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1339.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1345.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\135.png,云南省,1,云南省,1.0,广西省,0.0,未知,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1358.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1359.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1365.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1366.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1371.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1372.png,未知,1,未知,1.0,云南省,0.0,广西省,0.0,0.0,0.0,1.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1377.png,浙江省,1,浙江省,0.8633,广西省,0.13667,云南省,4e-05,4e-05,0.13667,0.0,0.8633,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\138.png,云南省,1,云南省,1.0,广西省,0.0,未知,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1384.png,浙江省,1,浙江省,0.99994,云南省,6e-05,广西省,0.0,6e-05,0.0,0.0,0.99994,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1385.png,浙江省,1,浙江省,1.0,云南省,0.0,广西省,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1387.png,浙江省,1,浙江省,0.99747,云南省,0.00253,广西省,0.0,0.00253,0.0,0.0,0.99747,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1389.png,浙江省,1,浙江省,0.99995,陕西省,3e-05,云南省,1e-05,1e-05,1e-05,0.0,0.99995,0.0,3e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\139.png,云南省,1,云南省,0.9985,广西省,0.00148,浙江省,1e-05,0.9985,0.00148,0.0,1e-05,0.0,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1392.png,浙江省,1,浙江省,0.93355,广西省,0.06589,云南省,0.00041,0.00041,0.06589,0.0,0.93355,0.00013,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1393.png,浙江省,1,浙江省,1.0,云南省,0.0,广西省,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1394.png,浙江省,1,浙江省,0.99946,云南省,0.00054,广西省,0.0,0.00054,0.0,0.0,0.99946,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1397.png,浙江省,1,浙江省,0.99999,云南省,1e-05,广西省,0.0,1e-05,0.0,0.0,0.99999,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1409.png,浙江省,1,浙江省,0.99742,云南省,0.00255,陕西省,3e-05,0.00255,0.0,0.0,0.99742,0.0,3e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1414.png,浙江省,1,浙江省,0.62283,云南省,0.37671,陕西省,0.00027,0.37671,7e-05,1e-05,0.62283,0.00011,0.00027
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1422.png,浙江省,1,广西省,0.92635,浙江省,0.06178,贵州省,0.00959,0.00211,0.92635,0.0,0.06178,0.00959,0.00018
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1424.png,浙江省,1,浙江省,0.99932,云南省,0.00067,陕西省,1e-05,0.00067,0.0,0.0,0.99932,0.0,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1436.png,浙江省,1,浙江省,1.0,云南省,0.0,广西省,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1438.png,浙江省,1,浙江省,0.99965,云南省,0.00033,贵州省,1e-05,0.00033,0.0,0.0,0.99965,1e-05,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1443.png,浙江省,1,浙江省,0.99966,广西省,0.00034,云南省,0.0,0.0,0.00034,0.0,0.99966,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1449.png,浙江省,1,浙江省,0.9999,云南省,6e-05,广西省,4e-05,6e-05,4e-05,0.0,0.9999,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1450.png,浙江省,1,浙江省,0.99977,云南省,0.00023,广西省,0.0,0.00023,0.0,0.0,0.99977,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1454.png,浙江省,1,浙江省,0.99993,云南省,2e-05,广西省,2e-05,2e-05,2e-05,0.0,0.99993,1e-05,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1455.png,浙江省,1,浙江省,0.99998,云南省,2e-05,广西省,0.0,2e-05,0.0,0.0,0.99998,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\146.png,云南省,1,云南省,0.99992,陕西省,8e-05,广西省,0.0,0.99992,0.0,0.0,0.0,0.0,8e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1461.png,浙江省,1,浙江省,0.99994,云南省,6e-05,广西省,0.0,6e-05,0.0,0.0,0.99994,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1472.png,浙江省,1,浙江省,0.99796,广西省,0.002,贵州省,4e-05,1e-05,0.002,0.0,0.99796,4e-05,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1473.png,浙江省,1,浙江省,1.0,云南省,0.0,广西省,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1476.png,浙江省,1,浙江省,0.99988,广西省,0.00011,云南省,1e-05,1e-05,0.00011,0.0,0.99988,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1478.png,浙江省,1,浙江省,0.97506,广西省,0.02472,云南省,0.00022,0.00022,0.02472,0.0,0.97506,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1485.png,浙江省,1,浙江省,0.99988,云南省,0.00012,广西省,0.0,0.00012,0.0,0.0,0.99988,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1488.png,浙江省,1,浙江省,0.99996,云南省,3e-05,广西省,0.0,3e-05,0.0,0.0,0.99996,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1491.png,浙江省,1,浙江省,0.99836,云南省,0.00164,广西省,0.0,0.00164,0.0,0.0,0.99836,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1497.png,浙江省,1,浙江省,0.99999,云南省,1e-05,广西省,0.0,1e-05,0.0,0.0,0.99999,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1498.png,浙江省,1,浙江省,0.99999,广西省,1e-05,云南省,0.0,0.0,1e-05,0.0,0.99999,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\150.png,云南省,1,云南省,0.99998,陕西省,2e-05,广西省,0.0,0.99998,0.0,0.0,0.0,0.0,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1510.png,浙江省,1,浙江省,1.0,云南省,0.0,广西省,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1513.png,浙江省,1,浙江省,0.99134,广西省,0.00795,云南省,0.00063,0.00063,0.00795,0.0,0.99134,4e-05,4e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\152.png,云南省,1,云南省,1.0,广西省,0.0,未知,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1521.png,浙江省,1,浙江省,0.96451,广西省,0.02334,贵州省,0.0114,0.00053,0.02334,0.0,0.96451,0.0114,0.00021
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1536.png,浙江省,1,浙江省,1.0,云南省,0.0,广西省,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1543.png,浙江省,1,浙江省,0.99992,广西省,4e-05,陕西省,2e-05,1e-05,4e-05,0.0,0.99992,0.0,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1546.png,浙江省,1,浙江省,0.99928,云南省,0.00072,广西省,0.0,0.00072,0.0,0.0,0.99928,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1547.png,浙江省,1,浙江省,0.99986,广西省,0.00011,陕西省,2e-05,1e-05,0.00011,0.0,0.99986,1e-05,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1551.png,浙江省,1,浙江省,0.91756,广西省,0.08009,陕西省,0.0013,0.00104,0.08009,0.0,0.91756,1e-05,0.0013
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1555.png,浙江省,1,浙江省,0.99929,广西省,0.00043,云南省,0.00027,0.00027,0.00043,0.0,0.99929,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1557.png,浙江省,1,浙江省,0.99986,广西省,0.00014,云南省,0.0,0.0,0.00014,0.0,0.99986,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\156.png,云南省,1,云南省,1.0,广西省,0.0,未知,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1563.png,浙江省,1,浙江省,0.99402,广西省,0.00592,云南省,4e-05,4e-05,0.00592,0.0,0.99402,0.0,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1566.png,浙江省,1,浙江省,0.93783,云南省,0.06212,广西省,3e-05,0.06212,3e-05,0.0,0.93783,0.0,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1570.png,浙江省,1,浙江省,1.0,云南省,0.0,广西省,0.0,0.0,0.0,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1573.png,浙江省,1,浙江省,0.99962,云南省,0.00037,陕西省,1e-05,0.00037,0.0,0.0,0.99962,0.0,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1576.png,浙江省,1,浙江省,1.0,云南省,0.0,广西省,0.0,0.0,0.0,0.0,1.0,0.0,0.0
