img_path,true_class,top_n预测正确,top-1-predicted-class,top-1-probs,top-2-predicted-class,top-2-probs,top-3-predicted-class,top-3-probs,class_未知_prob,class_浙江省_prob,class_非浙江_prob
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1238.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1257.png,未知,1,未知,0.99995,非浙江,5e-05,浙江省,0.0,0.99995,0.0,5e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1264.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1267.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1273.png,未知,1,未知,0.99977,浙江省,0.00012,非浙江,0.00011,0.99977,0.00012,0.00011
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1283.png,未知,1,未知,0.99829,非浙江,0.00165,浙江省,6e-05,0.99829,6e-05,0.00165
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1284.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1289.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\129.png,非浙江,1,非浙江,1.0,未知,0.0,浙江省,0.0,0.0,0.0,1.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1291.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1292.png,未知,1,未知,0.99901,非浙江,0.00097,浙江省,3e-05,0.99901,3e-05,0.00097
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1293.png,未知,1,未知,0.99991,浙江省,4e-05,非浙江,4e-05,0.99991,4e-05,4e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1297.png,未知,1,未知,0.99993,非浙江,7e-05,浙江省,0.0,0.99993,0.0,7e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1308.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1309.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1315.png,未知,1,未知,0.99987,非浙江,0.00011,浙江省,2e-05,0.99987,2e-05,0.00011
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1317.png,未知,1,未知,0.99994,非浙江,3e-05,浙江省,2e-05,0.99994,2e-05,3e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1321.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1330.png,未知,1,未知,0.9999,非浙江,9e-05,浙江省,1e-05,0.9999,1e-05,9e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1332.png,未知,1,未知,0.99931,非浙江,0.00052,浙江省,0.00018,0.99931,0.00018,0.00052
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1334.png,未知,1,未知,0.99313,非浙江,0.00557,浙江省,0.0013,0.99313,0.0013,0.00557
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1336.png,未知,1,未知,0.98533,非浙江,0.01172,浙江省,0.00296,0.98533,0.00296,0.01172
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1338.png,未知,1,未知,0.99997,非浙江,2e-05,浙江省,1e-05,0.99997,1e-05,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1339.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1345.png,未知,1,未知,0.99998,浙江省,1e-05,非浙江,0.0,0.99998,1e-05,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\135.png,非浙江,1,非浙江,1.0,未知,0.0,浙江省,0.0,0.0,0.0,1.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1358.png,未知,1,未知,0.99991,非浙江,9e-05,浙江省,0.0,0.99991,0.0,9e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1359.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1365.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1366.png,未知,1,未知,0.99998,非浙江,2e-05,浙江省,0.0,0.99998,0.0,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1371.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1372.png,未知,1,未知,1.0,浙江省,0.0,非浙江,0.0,1.0,0.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1377.png,浙江省,1,浙江省,0.99994,非浙江,6e-05,未知,0.0,0.0,0.99994,6e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\138.png,非浙江,1,非浙江,1.0,未知,0.0,浙江省,0.0,0.0,0.0,1.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1384.png,浙江省,1,浙江省,0.99986,非浙江,0.00013,未知,0.0,0.0,0.99986,0.00013
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1385.png,浙江省,1,浙江省,0.99984,非浙江,0.00016,未知,0.0,0.0,0.99984,0.00016
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1387.png,浙江省,1,浙江省,0.99969,非浙江,0.00031,未知,0.0,0.0,0.99969,0.00031
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1389.png,浙江省,1,浙江省,0.99994,非浙江,6e-05,未知,0.0,0.0,0.99994,6e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\139.png,非浙江,1,非浙江,1.0,未知,0.0,浙江省,0.0,0.0,0.0,1.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1392.png,浙江省,1,浙江省,0.99974,非浙江,0.00026,未知,0.0,0.0,0.99974,0.00026
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1393.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1394.png,浙江省,1,浙江省,0.99845,非浙江,0.00155,未知,0.0,0.0,0.99845,0.00155
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1397.png,浙江省,1,浙江省,0.99993,非浙江,7e-05,未知,0.0,0.0,0.99993,7e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1409.png,浙江省,1,浙江省,0.99995,非浙江,5e-05,未知,0.0,0.0,0.99995,5e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1414.png,浙江省,1,非浙江,0.8895,浙江省,0.1105,未知,0.0,0.0,0.1105,0.8895
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1422.png,浙江省,1,浙江省,0.9767,非浙江,0.0233,未知,0.0,0.0,0.9767,0.0233
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1424.png,浙江省,1,浙江省,0.99987,非浙江,0.00013,未知,0.0,0.0,0.99987,0.00013
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1436.png,浙江省,1,浙江省,0.99982,非浙江,0.00018,未知,0.0,0.0,0.99982,0.00018
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1438.png,浙江省,1,浙江省,0.99997,非浙江,3e-05,未知,0.0,0.0,0.99997,3e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1443.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1449.png,浙江省,1,浙江省,0.99999,非浙江,1e-05,未知,0.0,0.0,0.99999,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1450.png,浙江省,1,浙江省,0.99915,非浙江,0.00085,未知,0.0,0.0,0.99915,0.00085
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1454.png,浙江省,1,浙江省,0.9996,非浙江,0.0004,未知,0.0,0.0,0.9996,0.0004
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1455.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\146.png,非浙江,1,非浙江,0.99999,浙江省,1e-05,未知,0.0,0.0,1e-05,0.99999
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1461.png,浙江省,1,浙江省,0.99996,非浙江,4e-05,未知,0.0,0.0,0.99996,4e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1472.png,浙江省,1,浙江省,0.99975,非浙江,0.00025,未知,0.0,0.0,0.99975,0.00025
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1473.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1476.png,浙江省,1,浙江省,0.99995,非浙江,5e-05,未知,0.0,0.0,0.99995,5e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1478.png,浙江省,1,浙江省,0.99953,非浙江,0.00047,未知,0.0,0.0,0.99953,0.00047
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1485.png,浙江省,1,浙江省,0.99998,非浙江,2e-05,未知,0.0,0.0,0.99998,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1488.png,浙江省,1,浙江省,0.99957,非浙江,0.00043,未知,0.0,0.0,0.99957,0.00043
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1491.png,浙江省,1,浙江省,0.99999,非浙江,1e-05,未知,0.0,0.0,0.99999,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1497.png,浙江省,1,浙江省,0.99999,非浙江,1e-05,未知,0.0,0.0,0.99999,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1498.png,浙江省,1,浙江省,0.99991,非浙江,9e-05,未知,0.0,0.0,0.99991,9e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\150.png,非浙江,1,非浙江,0.99992,浙江省,8e-05,未知,0.0,0.0,8e-05,0.99992
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1510.png,浙江省,1,浙江省,0.99946,非浙江,0.00054,未知,0.0,0.0,0.99946,0.00054
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1513.png,浙江省,1,浙江省,0.99656,非浙江,0.00344,未知,0.0,0.0,0.99656,0.00344
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\152.png,非浙江,1,非浙江,1.0,未知,0.0,浙江省,0.0,0.0,0.0,1.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1521.png,浙江省,1,浙江省,0.99786,非浙江,0.00214,未知,0.0,0.0,0.99786,0.00214
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1536.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1543.png,浙江省,1,浙江省,0.99974,非浙江,0.00026,未知,0.0,0.0,0.99974,0.00026
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1546.png,浙江省,1,浙江省,0.99615,非浙江,0.00385,未知,0.0,0.0,0.99615,0.00385
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1547.png,浙江省,1,浙江省,0.99993,非浙江,7e-05,未知,0.0,0.0,0.99993,7e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1551.png,浙江省,1,浙江省,0.86939,非浙江,0.13061,未知,0.0,0.0,0.86939,0.13061
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1555.png,浙江省,1,浙江省,0.99999,非浙江,1e-05,未知,0.0,0.0,0.99999,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1557.png,浙江省,1,浙江省,0.99976,非浙江,0.00024,未知,0.0,0.0,0.99976,0.00024
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\156.png,非浙江,1,非浙江,1.0,未知,0.0,浙江省,0.0,0.0,0.0,1.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1563.png,浙江省,1,浙江省,0.99997,非浙江,3e-05,未知,0.0,0.0,0.99997,3e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1566.png,浙江省,1,浙江省,0.98546,非浙江,0.01438,未知,0.00016,0.00016,0.98546,0.01438
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1570.png,浙江省,1,浙江省,0.99999,非浙江,1e-05,未知,0.0,0.0,0.99999,1e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1573.png,浙江省,1,浙江省,0.99998,非浙江,2e-05,未知,0.0,0.0,0.99998,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1576.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1585.png,浙江省,1,浙江省,0.99994,非浙江,6e-05,未知,0.0,0.0,0.99994,6e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1593.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1594.png,浙江省,1,浙江省,0.99998,非浙江,2e-05,未知,0.0,0.0,0.99998,2e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1599.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\16.png,非浙江,1,非浙江,0.92784,浙江省,0.07216,未知,0.0,0.0,0.07216,0.92784
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1604.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1605.png,浙江省,1,浙江省,0.99959,非浙江,0.00041,未知,0.0,0.0,0.99959,0.00041
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1615.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\163.png,非浙江,1,非浙江,0.99999,未知,1e-05,浙江省,0.0,1e-05,0.0,0.99999
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1634.png,浙江省,1,浙江省,0.99994,非浙江,6e-05,未知,0.0,0.0,0.99994,6e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1635.png,浙江省,1,浙江省,0.99837,非浙江,0.00163,未知,0.0,0.0,0.99837,0.00163
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1637.png,浙江省,1,浙江省,0.99548,非浙江,0.00452,未知,0.0,0.0,0.99548,0.00452
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1652.png,浙江省,1,浙江省,0.99687,非浙江,0.00313,未知,0.0,0.0,0.99687,0.00313
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1653.png,浙江省,1,浙江省,0.99996,非浙江,4e-05,未知,0.0,0.0,0.99996,4e-05
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1656.png,浙江省,1,浙江省,1.0,未知,0.0,非浙江,0.0,0.0,1.0,0.0
D:\SanYeQing_Project\sanyeqing_hun_weizhi_finally\test_hun_finally\1659.png,浙江省,1,浙江省,0.99996,非浙江,4e-05,未知,0.0,0.0,0.99996,4e-05
